 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
       Day        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  19980101        0.375000E-06       -0.278000E+01        0.158000E+00       -0.326500E-01        0.564700E+01
  19980102        0.833333E-06       -0.222000E+01        0.161000E+00       -0.308840E-01        0.564700E+01
  19980103        0.145833E-05       -0.278000E+01        0.163000E+00       -0.297860E-01        0.564700E+01
  19980104        0.250000E-05       -0.278000E+01        0.173000E+00       -0.250820E-01        0.564700E+01
  19980105        0.916667E-06       -0.222000E+01        0.176000E+00       -0.238840E-01        0.564700E+01
  19980106        0.191667E-05       -0.222000E+01        0.177000E+00       -0.235030E-01        0.564700E+01
  19980107        0.916667E-06       -0.222000E+01        0.177000E+00       -0.235030E-01        0.564700E+01
  19980108        0.833333E-06       -0.167000E+01        0.175000E+00       -0.242740E-01        0.564700E+01
  19980109        0.170833E-05       -0.167000E+01        0.162000E+00       -0.303280E-01        0.564700E+01
  19980110        0.179167E-05       -0.167000E+01        0.178000E+00       -0.231310E-01        0.564700E+01
  19980111        0.150000E-05       -0.222000E+01        0.182000E+00       -0.217260E-01        0.564700E+01
  19980112        0.166667E-05       -0.278000E+01        0.179000E+00       -0.227680E-01        0.564700E+01
  19980113        0.179167E-05       -0.222000E+01        0.176000E+00       -0.238840E-01        0.564700E+01
  19980114        0.170833E-05       -0.278000E+01        0.175000E+00       -0.242740E-01        0.564700E+01
  19980115        0.108333E-05       -0.278000E+01        0.174000E+00       -0.246730E-01        0.564700E+01
  19980116        0.708333E-06       -0.111000E+01        0.164000E+00       -0.292590E-01        0.564700E+01
  19980117        0.108333E-05       -0.111000E+01        0.172000E+00       -0.255000E-01        0.564700E+01
  19980118        0.875000E-06       -0.111000E+01        0.176000E+00       -0.238840E-01        0.564700E+01
  19980119        0.333333E-06       -0.111000E+01        0.177000E+00       -0.235030E-01        0.564700E+01
  19980120        0.791667E-06       -0.560000E+00        0.175000E+00       -0.242740E-01        0.564700E+01
  19980121        0.875000E-06       -0.560000E+00        0.192000E+00       -0.187060E-01        0.564700E+01
  19980122        0.166667E-05       -0.560000E+00        0.189000E+00       -0.195460E-01        0.564700E+01
  19980123        0.120833E-05       -0.560000E+00        0.188000E+00       -0.198380E-01        0.564700E+01
  19980124        0.541667E-06       -0.560000E+00        0.189000E+00       -0.195460E-01        0.564700E+01
  19980125        0.104167E-05       -0.560000E+00        0.186000E+00       -0.204400E-01        0.564700E+01
  19980126        0.750000E-06       -0.111000E+01        0.185000E+00       -0.207510E-01        0.564700E+01
  19980127        0.100000E-05       -0.111000E+01        0.184000E+00       -0.210690E-01        0.564700E+01
  19980128        0.916667E-06       -0.111000E+01        0.191000E+00       -0.189800E-01        0.564700E+01
  19980129        0.129167E-05       -0.560000E+00        0.197000E+00       -0.174140E-01        0.564700E+01
  19980130        0.162500E-05       -0.560000E+00        0.194000E+00       -0.181740E-01        0.564700E+01
  19980131        0.958333E-06       -0.560000E+00        0.202000E+00       -0.162410E-01        0.564700E+01
  19980201        0.375000E-06       -0.560000E+00        0.207000E+00       -0.151720E-01        0.564700E+01
  19980202        0.250000E-06       -0.560000E+00        0.205000E+00       -0.155880E-01        0.564700E+01
  19980203        0.666667E-06       -0.560000E+00        0.204000E+00       -0.158020E-01        0.564700E+01
  19980204        0.100000E-05       -0.111000E+01        0.203000E+00       -0.160190E-01        0.564700E+01
  19980205        0.129167E-05       -0.560000E+00        0.198000E+00       -0.171700E-01        0.564700E+01
  19980206        0.958333E-06       -0.560000E+00        0.199000E+00       -0.169310E-01        0.564700E+01
  19980207        0.416667E-06       -0.560000E+00        0.199000E+00       -0.169310E-01        0.564700E+01
  19980208        0.666667E-06       -0.560000E+00        0.201000E+00       -0.164670E-01        0.564700E+01
  19980209        0.416667E-06       -0.560000E+00        0.198000E+00       -0.171700E-01        0.564700E+01
  19980210        0.125000E-06       -0.560000E+00        0.192000E+00       -0.187060E-01        0.564700E+01
  19980211        0.375000E-06       -0.560000E+00        0.177000E+00       -0.235030E-01        0.564700E+01
  19980212        0.750000E-06       -0.560000E+00        0.172000E+00       -0.255000E-01        0.564700E+01
  19980213        0.583333E-06       -0.560000E+00        0.174000E+00       -0.246730E-01        0.564700E+01
  19980214        0.375000E-06       -0.560000E+00        0.173000E+00       -0.250820E-01        0.564700E+01
  19980215        0.375000E-06       -0.560000E+00        0.165000E+00       -0.287450E-01        0.564700E+01
  19980216        0.458333E-06       -0.560000E+00        0.163000E+00       -0.297860E-01        0.564700E+01
  19980217        0.291667E-06       -0.560000E+00        0.165000E+00       -0.287450E-01        0.564700E+01
  19980218        0.291667E-06       -0.560000E+00        0.166000E+00       -0.282450E-01        0.564700E+01
  19980219        0.375000E-06        0.000000E+00        0.162000E+00       -0.303280E-01        0.564700E+01
  19980220        0.833333E-07       -0.560000E+00        0.159000E+00       -0.320450E-01        0.564700E+01
  19980221        0.208333E-06       -0.560000E+00        0.155000E+00       -0.345740E-01        0.564700E+01
  19980222        0.458333E-06       -0.560000E+00        0.153000E+00       -0.359540E-01        0.564700E+01
  19980223        0.291667E-06       -0.111000E+01        0.144000E+00       -0.433490E-01        0.564700E+01
  19980224        0.583333E-06       -0.560000E+00        0.144000E+00       -0.433490E-01        0.564700E+01
  19980225        0.458333E-06       -0.560000E+00        0.143000E+00       -0.443140E-01        0.564700E+01
  19980226        0.333333E-06       -0.560000E+00        0.145000E+00       -0.424170E-01        0.564700E+01
  19980227        0.208333E-06       -0.560000E+00        0.142000E+00       -0.453130E-01        0.564700E+01
  19980228        0.666667E-06       -0.560000E+00        0.137000E+00       -0.508740E-01        0.564700E+01
  19980301        0.104167E-05       -0.560000E+00        0.135000E+00       -0.534020E-01        0.564700E+01
  19980302        0.112500E-05       -0.560000E+00        0.140000E+00       -0.474180E-01        0.564700E+01
  19980303        0.104167E-05       -0.560000E+00        0.149000E+00       -0.389800E-01        0.564700E+01
  19980304        0.625000E-06       -0.111000E+01        0.154000E+00       -0.352530E-01        0.564700E+01
  19980305        0.541667E-06       -0.560000E+00        0.155000E+00       -0.345740E-01        0.564700E+01
  19980306        0.191667E-05       -0.111000E+01        0.152000E+00       -0.366760E-01        0.564700E+01
  19980307        0.229167E-05       -0.111000E+01        0.135000E+00       -0.534020E-01        0.564700E+01
  19980308        0.183333E-05       -0.111000E+01        0.133000E+00       -0.561320E-01        0.564700E+01
  19980309        0.170833E-05       -0.560000E+00        0.130000E+00       -0.606600E-01        0.564700E+01
  19980310        0.191667E-05       -0.560000E+00        0.131000E+00       -0.590890E-01        0.564700E+01
  19980311        0.116667E-05       -0.560000E+00        0.131000E+00       -0.590890E-01        0.564700E+01
  19980312        0.183333E-05       -0.560000E+00        0.131000E+00       -0.590890E-01        0.564700E+01
  19980313        0.254167E-05       -0.560000E+00        0.129000E+00       -0.622980E-01        0.564700E+01
  19980314        0.704167E-05       -0.560000E+00        0.132000E+00       -0.575810E-01        0.564700E+01
  19980315        0.641667E-05       -0.560000E+00        0.142000E+00       -0.453130E-01        0.564700E+01
  19980316        0.666667E-05       -0.560000E+00        0.143000E+00       -0.443140E-01        0.564700E+01
  19980317        0.745833E-05       -0.560000E+00        0.140000E+00       -0.474180E-01        0.564700E+01
  19980318        0.837500E-05       -0.560000E+00        0.141000E+00       -0.463470E-01        0.564700E+01
  19980319        0.987500E-05       -0.560000E+00        0.140000E+00       -0.474180E-01        0.564700E+01
  19980320        0.107083E-04       -0.560000E+00        0.138000E+00       -0.496790E-01        0.564700E+01
  19980321        0.121250E-04       -0.560000E+00        0.136000E+00       -0.521140E-01        0.564700E+01
  19980322        0.125000E-04       -0.560000E+00        0.133000E+00       -0.561320E-01        0.564700E+01
  19980323        0.845833E-05       -0.560000E+00        0.128000E+00       -0.640060E-01        0.564700E+01
  19980324        0.500000E-05       -0.560000E+00        0.119000E+00       -0.834140E-01        0.564700E+01
  19980325        0.591667E-05       -0.560000E+00        0.115000E+00       -0.952180E-01        0.564700E+01
  19980326        0.845833E-05       -0.560000E+00        0.113000E+00       -0.102151E+00        0.564700E+01
  19980327        0.130833E-04       -0.560000E+00        0.111000E+00       -0.109926E+00        0.564700E+01
  19980328        0.155833E-04       -0.560000E+00        0.108000E+00       -0.123498E+00        0.564700E+01
  19980329        0.161250E-04       -0.560000E+00        0.103000E+00       -0.152986E+00        0.564700E+01
  19980330        0.303750E-04       -0.560000E+00        0.103000E+00       -0.152986E+00        0.564700E+01
  19980331        0.229583E-04       -0.560000E+00        0.103000E+00       -0.152986E+00        0.564700E+01
  19980401        0.249167E-04       -0.560000E+00        0.105000E+00       -0.139962E+00        0.564700E+01
  19980402        0.301667E-04       -0.560000E+00        0.109000E+00       -0.118689E+00        0.564700E+01
  19980403        0.326250E-04       -0.560000E+00        0.109000E+00       -0.118689E+00        0.564700E+01
  19980404        0.277917E-04       -0.560000E+00        0.109000E+00       -0.118689E+00        0.564700E+01
  19980405        0.319167E-04       -0.560000E+00        0.111000E+00       -0.109926E+00        0.564700E+01
  19980406        0.409583E-04        0.000000E+00        0.114000E+00       -0.985880E-01        0.564700E+01
  19980407        0.370833E-04        0.000000E+00        0.113000E+00       -0.102151E+00        0.564700E+01
  19980408        0.499167E-04        0.560000E+00        0.113000E+00       -0.102151E+00        0.564700E+01
  19980409        0.447917E-04        0.167000E+01        0.113000E+00       -0.102151E+00        0.564700E+01
  19980410        0.525833E-04        0.167000E+01        0.111000E+00       -0.109926E+00        0.564700E+01
  19980411        0.440000E-04        0.167000E+01        0.104000E+00       -0.146242E+00        0.564700E+01
  19980412        0.516250E-04        0.222000E+01        0.103000E+00       -0.152986E+00        0.564700E+01
  19980413        0.517500E-04        0.278000E+01        0.104000E+00       -0.146242E+00        0.564700E+01
  19980414        0.711250E-04        0.333000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980415        0.440833E-04        0.333000E+01        0.100000E+00       -0.176523E+00        0.564700E+01
  19980416        0.465000E-04        0.278000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980417        0.654167E-04        0.278000E+01        0.990000E-01       -0.185682E+00        0.564700E+01
  19980418        0.890833E-04        0.278000E+01        0.100000E+00       -0.176523E+00        0.564700E+01
  19980419        0.985833E-04        0.389000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980420        0.917083E-04        0.389000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980421        0.571250E-04        0.444000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980422        0.501667E-04        0.444000E+01        0.102000E+00       -0.160243E+00        0.564700E+01
  19980423        0.772083E-04        0.444000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980424        0.131083E-03        0.444000E+01        0.101000E+00       -0.168068E+00        0.564700E+01
  19980425        0.176792E-03        0.500000E+01        0.108000E+00       -0.123498E+00        0.564700E+01
  19980426        0.170542E-03        0.556000E+01        0.118000E+00       -0.861380E-01        0.564700E+01
  19980427        0.152708E-03        0.611000E+01        0.124000E+00       -0.716410E-01        0.564700E+01
  19980428        0.195333E-03        0.667000E+01        0.124000E+00       -0.716410E-01        0.564700E+01
  19980429        0.223708E-03        0.667000E+01        0.119000E+00       -0.834140E-01        0.564700E+01
  19980430        0.176958E-03        0.722000E+01        0.121000E+00       -0.783600E-01        0.564700E+01
  19980501        0.243583E-03        0.944000E+01        0.950000E-01       -0.231234E+00        0.564700E+01
  19980502        0.213292E-03        0.100000E+02        0.980000E-01       -0.195629E+00        0.564700E+01
  19980503        0.194500E-03        0.100000E+02        0.102000E+00       -0.160243E+00        0.564700E+01
  19980504        0.208167E-03        0.105600E+02        0.113000E+00       -0.102151E+00        0.564700E+01
  19980505        0.158417E-03        0.105600E+02        0.104000E+00       -0.146242E+00        0.564700E+01
  19980506        0.204583E-03        0.105600E+02        0.960000E-01       -0.218283E+00        0.564700E+01
  19980507        0.167333E-03        0.111100E+02        0.112000E+00       -0.105925E+00        0.564700E+01
  19980508        0.174667E-03        0.105600E+02        0.101000E+00       -0.168068E+00        0.564700E+01
  19980509        0.288792E-03        0.111100E+02        0.960000E-01       -0.218283E+00        0.564700E+01
  19980510        0.245167E-03        0.116700E+02        0.930000E-01       -0.261158E+00        0.564700E+01
  19980511        0.235167E-03        0.122200E+02        0.870000E-01       -0.401701E+00        0.564700E+01
  19980512        0.259083E-03        0.127800E+02        0.960000E-01       -0.218283E+00        0.564700E+01
  19980513        0.329250E-03        0.122200E+02        0.950000E-01       -0.231234E+00        0.564700E+01
  19980514        0.323000E-03        0.133300E+02        0.940000E-01       -0.245466E+00        0.564700E+01
  19980515        0.327917E-03        0.144400E+02        0.920000E-01       -0.278527E+00        0.564700E+01
  19980516        0.312000E-03        0.144400E+02        0.940000E-01       -0.245466E+00        0.564700E+01
  19980517        0.340083E-03        0.138900E+02        0.101000E+00       -0.168068E+00        0.564700E+01
  19980518        0.348083E-03        0.150000E+02        0.930000E-01       -0.261158E+00        0.564700E+01
  19980519        0.392292E-03        0.155600E+02        0.960000E-01       -0.218283E+00        0.564700E+01
  19980520        0.295292E-03        0.161100E+02        0.101000E+00       -0.168068E+00        0.564700E+01
  19980521        0.229250E-03        0.155600E+02        0.104000E+00       -0.146242E+00        0.564700E+01
  19980522        0.144833E-03        0.155600E+02        0.105000E+00       -0.139962E+00        0.564700E+01
  19980523        0.210792E-03        0.150000E+02        0.102000E+00       -0.160243E+00        0.564700E+01
  19980524        0.291208E-03        0.144400E+02        0.103000E+00       -0.152986E+00        0.564700E+01
  19980525        0.339625E-03        0.138900E+02        0.113000E+00       -0.102151E+00        0.564700E+01
  19980526        0.313708E-03        0.150000E+02        0.113000E+00       -0.102151E+00        0.564700E+01
  19980527        0.298083E-03        0.155600E+02        0.113000E+00       -0.102151E+00        0.564700E+01
  19980528        0.386458E-03        0.161100E+02        0.117000E+00       -0.890060E-01        0.564700E+01
  19980529        0.383083E-03        0.161100E+02        0.122000E+00       -0.760130E-01        0.564700E+01
  19980530        0.354208E-03        0.161100E+02        0.130000E+00       -0.606600E-01        0.564700E+01
  19980531        0.340708E-03        0.155600E+02        0.130000E+00       -0.606600E-01        0.564700E+01
  19980601        0.276333E-03        0.155600E+02        0.138000E+00       -0.496790E-01        0.564700E+01
  19980602        0.386000E-03        0.150000E+02        0.196000E+00       -0.176620E-01        0.564700E+01
  19980603        0.370458E-03        0.144400E+02        0.217000E+00       -0.132960E-01        0.564700E+01
  19980604        0.379750E-03        0.138900E+02        0.309000E+00       -0.409400E-02        0.564700E+01
  19980605        0.321833E-03        0.138900E+02        0.309000E+00       -0.409400E-02        0.564700E+01
  19980606        0.314583E-03        0.138900E+02        0.306000E+00       -0.428200E-02        0.564700E+01
  19980607        0.412750E-03        0.133300E+02        0.305000E+00       -0.434500E-02        0.564700E+01
  19980608        0.500125E-03        0.133300E+02        0.313000E+00       -0.384900E-02        0.564700E+01
  19980609        0.515792E-03        0.138900E+02        0.298000E+00       -0.480000E-02        0.564700E+01
  19980610        0.583042E-03        0.138900E+02        0.297000E+00       -0.486700E-02        0.564700E+01
  19980611        0.327000E-03        0.144400E+02        0.286000E+00       -0.563800E-02        0.564700E+01
  19980612        0.486667E-03        0.144400E+02        0.270000E+00       -0.690300E-02        0.564700E+01
  19980613        0.417667E-03        0.150000E+02        0.254000E+00       -0.839600E-02        0.564700E+01
  19980614        0.443542E-03        0.161100E+02        0.241000E+00       -0.983900E-02        0.564700E+01
  19980615        0.398250E-03        0.166700E+02        0.243000E+00       -0.960100E-02        0.564700E+01
  19980616        0.448458E-03        0.172200E+02        0.238000E+00       -0.102080E-01        0.564700E+01
  19980617        0.416708E-03        0.172200E+02        0.237000E+00       -0.103350E-01        0.564700E+01
  19980618        0.488417E-03        0.177800E+02        0.231000E+00       -0.111320E-01        0.564700E+01
  19980619        0.441792E-03        0.177800E+02        0.230000E+00       -0.112720E-01        0.564700E+01
  19980620        0.431708E-03        0.177800E+02        0.233000E+00       -0.108590E-01        0.564700E+01
  19980621        0.455042E-03        0.177800E+02        0.231000E+00       -0.111320E-01        0.564700E+01
  19980622        0.486208E-03        0.177800E+02        0.229000E+00       -0.114140E-01        0.564700E+01
  19980623        0.537917E-03        0.183300E+02        0.226000E+00       -0.118520E-01        0.564700E+01
  19980624        0.546917E-03        0.183300E+02        0.226000E+00       -0.118520E-01        0.564700E+01
  19980625        0.551875E-03        0.194400E+02        0.221000E+00       -0.126290E-01        0.564700E+01
  19980626        0.536708E-03        0.194400E+02        0.220000E+00       -0.127920E-01        0.564700E+01
  19980627        0.558542E-03        0.200000E+02        0.219000E+00       -0.129570E-01        0.564700E+01
  19980628        0.564917E-03        0.200000E+02        0.217000E+00       -0.132960E-01        0.564700E+01
  19980629        0.569458E-03        0.194400E+02        0.215000E+00       -0.136460E-01        0.564700E+01
  19980630        0.527417E-03        0.200000E+02        0.210000E+00       -0.145750E-01        0.564700E+01
  19980701        0.407583E-03        0.200000E+02        0.205000E+00       -0.155880E-01        0.564700E+01
  19980702        0.356042E-03        0.194400E+02        0.204000E+00       -0.158020E-01        0.564700E+01
  19980703        0.528708E-03        0.200000E+02        0.199000E+00       -0.169310E-01        0.564700E+01
  19980704        0.479000E-03        0.200000E+02        0.194000E+00       -0.181740E-01        0.564700E+01
  19980705        0.489125E-03        0.194400E+02        0.187000E+00       -0.201360E-01        0.564700E+01
  19980706        0.458083E-03        0.194400E+02        0.180000E+00       -0.224130E-01        0.564700E+01
  19980707        0.487375E-03        0.200000E+02        0.175000E+00       -0.242740E-01        0.564700E+01
  19980708        0.499250E-03        0.200000E+02        0.172000E+00       -0.255000E-01        0.564700E+01
  19980709        0.497250E-03        0.205600E+02        0.165000E+00       -0.287450E-01        0.564700E+01
  19980710        0.528292E-03        0.211100E+02        0.216000E+00       -0.134700E-01        0.564700E+01
  19980711        0.463542E-03        0.211100E+02        0.207000E+00       -0.151720E-01        0.564700E+01
  19980712        0.519208E-03        0.211100E+02        0.226000E+00       -0.118520E-01        0.564700E+01
  19980713        0.488792E-03        0.216700E+02        0.217000E+00       -0.132960E-01        0.564700E+01
  19980714        0.467875E-03        0.222200E+02        0.214000E+00       -0.138260E-01        0.564700E+01
  19980715        0.557208E-03        0.216700E+02        0.264000E+00       -0.743200E-02        0.564700E+01
  19980716        0.499500E-03        0.216700E+02        0.248000E+00       -0.903300E-02        0.564700E+01
  19980717        0.481292E-03        0.216700E+02        0.253000E+00       -0.849900E-02        0.564700E+01
  19980718        0.542708E-03        0.205600E+02        0.243000E+00       -0.960100E-02        0.564700E+01
  19980719        0.520542E-03        0.205600E+02        0.230000E+00       -0.112720E-01        0.564700E+01
  19980720        0.556083E-03        0.211100E+02        0.225000E+00       -0.120030E-01        0.564700E+01
  19980721        0.583333E-03        0.216700E+02        0.228000E+00       -0.115580E-01        0.564700E+01
  19980722        0.480750E-03        0.211100E+02        0.219000E+00       -0.129570E-01        0.564700E+01
  19980723        0.516625E-03        0.205600E+02        0.211000E+00       -0.143830E-01        0.564700E+01
  19980724        0.484833E-03        0.200000E+02        0.209000E+00       -0.147700E-01        0.564700E+01
  19980725        0.495667E-03        0.200000E+02        0.208000E+00       -0.149690E-01        0.564700E+01
  19980726        0.479250E-03        0.200000E+02        0.199000E+00       -0.169310E-01        0.564700E+01
  19980727        0.393042E-03        0.200000E+02        0.196000E+00       -0.176620E-01        0.564700E+01
  19980728        0.450958E-03        0.200000E+02        0.196000E+00       -0.176620E-01        0.564700E+01
  19980729        0.507917E-03        0.200000E+02        0.181000E+00       -0.220660E-01        0.564700E+01
  19980730        0.382250E-03        0.194400E+02        0.180000E+00       -0.224130E-01        0.564700E+01
  19980731        0.469125E-03        0.194400E+02        0.160000E+00       -0.314560E-01        0.564700E+01
  19980801        0.514167E-03        0.194400E+02        0.146000E+00       -0.415150E-01        0.564700E+01
  19980802        0.485250E-03        0.194400E+02        0.135000E+00       -0.534020E-01        0.564700E+01
  19980803        0.490833E-03        0.194400E+02        0.111000E+00       -0.109926E+00        0.564700E+01
  19980804        0.484458E-03        0.188900E+02        0.101000E+00       -0.168068E+00        0.564700E+01
  19980805        0.412833E-03        0.194400E+02        0.980000E-01       -0.195629E+00        0.564700E+01
  19980806        0.388292E-03        0.194400E+02        0.100000E+00       -0.176523E+00        0.564700E+01
  19980807        0.390708E-03        0.194400E+02        0.105000E+00       -0.139962E+00        0.564700E+01
  19980808        0.360833E-03        0.200000E+02        0.105000E+00       -0.139962E+00        0.564700E+01
  19980809        0.474667E-03        0.205600E+02        0.100000E+00       -0.176523E+00        0.564700E+01
  19980810        0.456333E-03        0.205600E+02        0.171000E+00       -0.259300E-01        0.564700E+01
  19980811        0.472833E-03        0.205600E+02        0.211000E+00       -0.143830E-01        0.564700E+01
  19980812        0.455458E-03        0.200000E+02        0.187000E+00       -0.201360E-01        0.564700E+01
  19980813        0.434042E-03        0.200000E+02        0.194000E+00       -0.181740E-01        0.564700E+01
  19980814        0.444375E-03        0.205600E+02        0.209000E+00       -0.147700E-01        0.564700E+01
  19980815        0.507667E-03        0.205600E+02        0.208000E+00       -0.149690E-01        0.564700E+01
  19980816        0.453250E-03        0.200000E+02        0.200000E+00       -0.166970E-01        0.564700E+01
  19980817        0.389500E-03        0.205600E+02        0.183000E+00       -0.213940E-01        0.564700E+01
  19980818        0.445542E-03        0.200000E+02        0.169000E+00       -0.268210E-01        0.564700E+01
  19980819        0.481958E-03        0.200000E+02        0.160000E+00       -0.314560E-01        0.564700E+01
  19980820        0.451083E-03        0.211100E+02        0.156000E+00       -0.339140E-01        0.564700E+01
  19980821        0.432542E-03        0.205600E+02        0.149000E+00       -0.389800E-01        0.564700E+01
  19980822        0.409375E-03        0.205600E+02        0.131000E+00       -0.590890E-01        0.564700E+01
  19980823        0.408500E-03        0.205600E+02        0.126000E+00       -0.676540E-01        0.564700E+01
  19980824        0.418583E-03        0.205600E+02        0.124000E+00       -0.716410E-01        0.564700E+01
  19980825        0.412542E-03        0.205600E+02        0.120000E+00       -0.808240E-01        0.564700E+01
  19980826        0.388833E-03        0.200000E+02        0.106000E+00       -0.134102E+00        0.564700E+01
  19980827        0.410375E-03        0.200000E+02        0.102000E+00       -0.160243E+00        0.564700E+01
  19980828        0.403833E-03        0.200000E+02        0.980000E-01       -0.195629E+00        0.564700E+01
  19980829        0.405208E-03        0.200000E+02        0.910000E-01       -0.297831E+00        0.564700E+01
  19980830        0.384625E-03        0.194400E+02        0.840000E-01       -0.524423E+00        0.564700E+01
  19980831        0.369292E-03        0.188900E+02        0.850000E-01       -0.477491E+00        0.564700E+01
  19980901        0.360333E-03        0.188900E+02        0.800000E-01       -0.814221E+00        0.564700E+01
  19980902        0.373667E-03        0.183300E+02        0.890000E-01       -0.343547E+00        0.564700E+01
  19980903        0.378583E-03        0.177800E+02        0.940000E-01       -0.245466E+00        0.564700E+01
  19980904        0.365958E-03        0.177800E+02        0.950000E-01       -0.231234E+00        0.564700E+01
  19980905        0.338833E-03        0.183300E+02        0.153000E+00       -0.359540E-01        0.564700E+01
  19980906        0.399958E-03        0.188900E+02        0.154000E+00       -0.352530E-01        0.564700E+01
  19980907        0.231167E-03        0.188900E+02        0.185000E+00       -0.207510E-01        0.564700E+01
  19980908        0.270000E-03        0.183300E+02        0.160000E+00       -0.314560E-01        0.564700E+01
  19980909        0.316125E-03        0.177800E+02        0.154000E+00       -0.352530E-01        0.564700E+01
  19980910        0.292167E-03        0.177800E+02        0.138000E+00       -0.496790E-01        0.564700E+01
  19980911        0.313000E-03        0.183300E+02        0.122000E+00       -0.760130E-01        0.564700E+01
  19980912        0.301375E-03        0.188900E+02        0.172000E+00       -0.255000E-01        0.564700E+01
  19980913        0.275833E-03        0.194400E+02        0.157000E+00       -0.332730E-01        0.564700E+01
  19980914        0.200167E-03        0.194400E+02        0.149000E+00       -0.389800E-01        0.564700E+01
  19980915        0.222500E-03        0.188900E+02        0.138000E+00       -0.496790E-01        0.564700E+01
  19980916        0.201167E-03        0.183300E+02        0.115000E+00       -0.952180E-01        0.564700E+01
  19980917        0.274208E-03        0.183300E+02        0.112000E+00       -0.105925E+00        0.564700E+01
  19980918        0.272750E-03        0.183300E+02        0.960000E-01       -0.218283E+00        0.564700E+01
  19980919        0.281458E-03        0.188900E+02        0.870000E-01       -0.401701E+00        0.564700E+01
  19980920        0.250958E-03        0.188900E+02        0.870000E-01       -0.401701E+00        0.564700E+01
  19980921        0.248375E-03        0.172200E+02        0.780000E-01       -0.107078E+01        0.564700E+01
  19980922        0.135208E-03        0.155600E+02        0.690000E-01       -0.175167E+02        0.564700E+01
  19980923        0.177208E-03        0.150000E+02        0.680000E-01       -0.545689E+02        0.564700E+01
  19980924        0.186833E-03        0.150000E+02        0.650000E-01       -0.105213E+03        0.564700E+01
  19980925        0.214125E-03        0.155600E+02        0.760000E-01       -0.148795E+01        0.564700E+01
  19980926        0.234333E-03        0.161100E+02        0.660000E-01       -0.105213E+03        0.564700E+01
  19980927        0.260875E-03        0.166700E+02        0.710000E-01       -0.562288E+01        0.564700E+01
  19980928        0.236625E-03        0.155600E+02        0.700000E-01       -0.901111E+01        0.564700E+01
  19980929        0.256333E-03        0.155600E+02        0.266000E+00       -0.725200E-02        0.564700E+01
  19980930        0.229583E-03        0.150000E+02        0.227000E+00       -0.117040E-01        0.564700E+01
  19981001        0.227958E-03        0.138900E+02        0.214000E+00       -0.138260E-01        0.564700E+01
  19981002        0.222542E-03        0.127800E+02        0.207000E+00       -0.151720E-01        0.564700E+01
  19981003        0.177458E-03        0.127800E+02        0.194000E+00       -0.181740E-01        0.564700E+01
  19981004        0.141667E-03        0.127800E+02        0.246000E+00       -0.925600E-02        0.564700E+01
  19981005        0.896250E-04        0.127800E+02        0.228000E+00       -0.115580E-01        0.564700E+01
  19981006        0.105208E-03        0.127800E+02        0.221000E+00       -0.126290E-01        0.564700E+01
  19981007        0.134750E-03        0.127800E+02        0.210000E+00       -0.145750E-01        0.564700E+01
  19981008        0.111250E-03        0.122200E+02        0.213000E+00       -0.140080E-01        0.564700E+01
  19981009        0.164542E-03        0.122200E+02        0.205000E+00       -0.155880E-01        0.564700E+01
  19981010        0.739583E-04        0.127800E+02        0.199000E+00       -0.169310E-01        0.564700E+01
  19981011        0.142542E-03        0.133300E+02        0.189000E+00       -0.195460E-01        0.564700E+01
  19981012        0.134458E-03        0.127800E+02        0.189000E+00       -0.195460E-01        0.564700E+01
  19981013        0.120417E-03        0.111100E+02        0.177000E+00       -0.235030E-01        0.564700E+01
  19981014        0.112792E-03        0.105600E+02        0.208000E+00       -0.149690E-01        0.564700E+01
  19981015        0.884583E-04        0.105600E+02        0.193000E+00       -0.184370E-01        0.564700E+01
  19981016        0.710833E-04        0.116700E+02        0.184000E+00       -0.210690E-01        0.564700E+01
  19981017        0.899583E-04        0.127800E+02        0.182000E+00       -0.217260E-01        0.564700E+01
  19981018        0.951667E-04        0.122200E+02        0.183000E+00       -0.213940E-01        0.564700E+01
  19981019        0.942083E-04        0.111100E+02        0.175000E+00       -0.242740E-01        0.564700E+01
  19981020        0.977917E-04        0.100000E+02        0.173000E+00       -0.250820E-01        0.564700E+01
